var,name,mean,lwr,upr,string
Peak Ct,Other: Unvaccinated,25,24.2,25.9,"25 (24.2, 25.9)"
Peak Ct,Delta: 1-2 doses,22.4,21.4,23.5,"22.4 (21.4, 23.5)"
Peak Ct,Omicron: 1-2 doses,25.6,25,26.2,"25.6 (25, 26.2)"
Peak Ct,Omicron: Boosted,25.7,25.4,26.1,"25.7 (25.4, 26.1)"
Peak GEML,Other: Unvaccinated,6.8,6.6,7,"6.8 (6.6, 7)"
Peak GEML,Delta: 1-2 doses,7.5,7.2,7.8,"7.5 (7.2, 7.8)"
Peak GEML,Omicron: 1-2 doses,6.6,6.5,6.8,"6.6 (6.5, 6.8)"
Peak GEML,Omicron: Boosted,6.6,6.5,6.7,"6.6 (6.5, 6.7)"
Proliferation time,Other: Unvaccinated,3.5,3.1,3.9,"3.5 (3.1, 3.9)"
Proliferation time,Delta: 1-2 doses,3.6,3.1,4.1,"3.6 (3.1, 4.1)"
Proliferation time,Omicron: 1-2 doses,3.6,3.3,4,"3.6 (3.3, 4)"
Proliferation time,Omicron: Boosted,4,3.8,4.3,"4 (3.8, 4.3)"
Clearance time,Other: Unvaccinated,9.9,9.2,10.6,"9.9 (9.2, 10.6)"
Clearance time,Delta: 1-2 doses,7.6,7,8.3,"7.6 (7, 8.3)"
Clearance time,Omicron: 1-2 doses,6.2,5.8,6.6,"6.2 (5.8, 6.6)"
Clearance time,Omicron: Boosted,8.4,8,8.7,"8.4 (8, 8.7)"
