var,name,mean,lwr,upr,string
Peak Ct,Other: Unexposed,24.4,22.8,25.9,"24.4 (22.8, 25.9)"
Peak Ct,"Delta: Exposed, <250",22.1,20.5,23.6,"22.1 (20.5, 23.6)"
Peak Ct,"Delta: Exposed, >250",23.5,20.3,26.4,"23.5 (20.3, 26.4)"
Peak Ct,"Omicron: Exposed, 250",25.1,24.5,25.6,"25.1 (24.5, 25.6)"
Peak Ct,"Omicron: Exposed, >250",26.1,25.6,26.6,"26.1 (25.6, 26.6)"
Peak GEML,Other: Unexposed,7,6.6,7.4,"7 (6.6, 7.4)"
Peak GEML,"Delta: Exposed, <250",7.6,7.2,8.1,"7.6 (7.2, 8.1)"
Peak GEML,"Delta: Exposed, >250",7.2,6.4,8.1,"7.2 (6.4, 8.1)"
Peak GEML,"Omicron: Exposed, 250",6.8,6.7,6.9,"6.8 (6.7, 6.9)"
Peak GEML,"Omicron: Exposed, >250",6.5,6.4,6.7,"6.5 (6.4, 6.7)"
Proliferation time,Other: Unexposed,3.8,3.2,4.4,"3.8 (3.2, 4.4)"
Proliferation time,"Delta: Exposed, <250",3.4,2.7,4.3,"3.4 (2.7, 4.3)"
Proliferation time,"Delta: Exposed, >250",3.9,2.6,5.7,"3.9 (2.6, 5.7)"
Proliferation time,"Omicron: Exposed, 250",3.9,3.6,4.2,"3.9 (3.6, 4.2)"
Proliferation time,"Omicron: Exposed, >250",3.7,3.3,4.1,"3.7 (3.3, 4.1)"
Clearance time,Other: Unexposed,9.3,8.1,10.5,"9.3 (8.1, 10.5)"
Clearance time,"Delta: Exposed, <250",7.9,7,9,"7.9 (7, 9)"
Clearance time,"Delta: Exposed, >250",9.8,7.5,12.7,"9.8 (7.5, 12.7)"
Clearance time,"Omicron: Exposed, 250",8.5,8.1,9,"8.5 (8.1, 9)"
Clearance time,"Omicron: Exposed, >250",7.3,6.9,7.8,"7.3 (6.9, 7.8)"
