var,name,mean,lwr,upr,string
Peak Ct,Other: Unexposed,24.8,24,25.6,"24.8 (24, 25.6)"
Peak Ct,"Delta: Exposed, <250",22.1,20.6,23.4,"22.1 (20.6, 23.4)"
Peak Ct,"Delta: Exposed, >250",24.4,22.7,26.1,"24.4 (22.7, 26.1)"
Peak Ct,"Omicron: Exposed, 250",25.2,24.7,25.6,"25.2 (24.7, 25.6)"
Peak Ct,"Omicron: Exposed, >250",26.2,25.7,26.6,"26.2 (25.7, 26.6)"
Peak GEML,Other: Unexposed,6.9,6.6,7.1,"6.9 (6.6, 7.1)"
Peak GEML,"Delta: Exposed, <250",7.6,7.3,8,"7.6 (7.3, 8)"
Peak GEML,"Delta: Exposed, >250",7,6.5,7.4,"7 (6.5, 7.4)"
Peak GEML,"Omicron: Exposed, 250",6.8,6.7,6.9,"6.8 (6.7, 6.9)"
Peak GEML,"Omicron: Exposed, >250",6.5,6.4,6.6,"6.5 (6.4, 6.6)"
Proliferation time,Other: Unexposed,3.5,3.2,3.9,"3.5 (3.2, 3.9)"
Proliferation time,"Delta: Exposed, <250",3.6,2.8,4.5,"3.6 (2.8, 4.5)"
Proliferation time,"Delta: Exposed, >250",4.2,3.3,5.3,"4.2 (3.3, 5.3)"
Proliferation time,"Omicron: Exposed, 250",3.9,3.6,4.2,"3.9 (3.6, 4.2)"
Proliferation time,"Omicron: Exposed, >250",3.7,3.5,4,"3.7 (3.5, 4)"
Clearance time,Other: Unexposed,9.8,9.1,10.6,"9.8 (9.1, 10.6)"
Clearance time,"Delta: Exposed, <250",7.7,6.9,8.7,"7.7 (6.9, 8.7)"
Clearance time,"Delta: Exposed, >250",7.6,6.4,8.8,"7.6 (6.4, 8.8)"
Clearance time,"Omicron: Exposed, 250",8.4,8,8.8,"8.4 (8, 8.8)"
Clearance time,"Omicron: Exposed, >250",6.9,6.6,7.3,"6.9 (6.6, 7.3)"
