var,name,mean,lwr,upr,string
Peak Ct,Other: Unexposed,24.4,23.3,25.5,"24.4 (23.3, 25.5)"
Peak Ct,"Delta: Exposed, <250",22.9,19.1,26,"22.9 (19.1, 26)"
Peak Ct,"Delta: Exposed, >250",24.6,21.1,27.7,"24.6 (21.1, 27.7)"
Peak Ct,"Omicron: Exposed, 250",25.5,24.6,26.3,"25.5 (24.6, 26.3)"
Peak Ct,"Omicron: Exposed, >250",26.2,25.4,27,"26.2 (25.4, 27)"
Peak GEML,Other: Unexposed,7,6.7,7.3,"7 (6.7, 7.3)"
Peak GEML,"Delta: Exposed, <250",7.4,6.5,8.4,"7.4 (6.5, 8.4)"
Peak GEML,"Delta: Exposed, >250",6.9,6.1,7.9,"6.9 (6.1, 7.9)"
Peak GEML,"Omicron: Exposed, 250",6.7,6.5,6.9,"6.7 (6.5, 6.9)"
Peak GEML,"Omicron: Exposed, >250",6.5,6.3,6.7,"6.5 (6.3, 6.7)"
Proliferation time,Other: Unexposed,3.2,2.9,3.6,"3.2 (2.9, 3.6)"
Proliferation time,"Delta: Exposed, <250",3.2,2.3,4.2,"3.2 (2.3, 4.2)"
Proliferation time,"Delta: Exposed, >250",3.6,2.6,4.9,"3.6 (2.6, 4.9)"
Proliferation time,"Omicron: Exposed, 250",3.2,2.9,3.5,"3.2 (2.9, 3.5)"
Proliferation time,"Omicron: Exposed, >250",3.4,3.1,3.8,"3.4 (3.1, 3.8)"
Clearance time,Other: Unexposed,9.7,8.7,10.7,"9.7 (8.7, 10.7)"
Clearance time,"Delta: Exposed, <250",8.4,6.3,11.2,"8.4 (6.3, 11.2)"
Clearance time,"Delta: Exposed, >250",7.6,5.6,10,"7.6 (5.6, 10)"
Clearance time,"Omicron: Exposed, 250",8.4,7.6,9.3,"8.4 (7.6, 9.3)"
Clearance time,"Omicron: Exposed, >250",6.9,6.2,7.6,"6.9 (6.2, 7.6)"
