var,name,mean,lwr,upr,string
Peak Ct,Other: Unvaccinated,24.8,23.3,26.2,"24.8 (23.3, 26.2)"
Peak Ct,Delta: 1-2 doses,21.9,20.3,23.5,"21.9 (20.3, 23.5)"
Peak Ct,Omicron: 1-2 doses,25.1,24.1,26,"25.1 (24.1, 26)"
Peak Ct,Omicron: Boosted,25.6,25.2,26,"25.6 (25.2, 26)"
Peak GEML,Other: Unvaccinated,6.9,6.5,7.3,"6.9 (6.5, 7.3)"
Peak GEML,Delta: 1-2 doses,7.7,7.2,8.1,"7.7 (7.2, 8.1)"
Peak GEML,Omicron: 1-2 doses,6.8,6.5,7.1,"6.8 (6.5, 7.1)"
Peak GEML,Omicron: Boosted,6.6,6.5,6.8,"6.6 (6.5, 6.8)"
Proliferation time,Other: Unvaccinated,3.8,3.2,4.5,"3.8 (3.2, 4.5)"
Proliferation time,Delta: 1-2 doses,3.5,2.7,4.5,"3.5 (2.7, 4.5)"
Proliferation time,Omicron: 1-2 doses,3.7,3.1,4.3,"3.7 (3.1, 4.3)"
Proliferation time,Omicron: Boosted,3.8,3.6,4.1,"3.8 (3.6, 4.1)"
Clearance time,Other: Unvaccinated,9.2,8.1,10.4,"9.2 (8.1, 10.4)"
Clearance time,Delta: 1-2 doses,8.3,7.3,9.3,"8.3 (7.3, 9.3)"
Clearance time,Omicron: 1-2 doses,6.2,5.6,6.8,"6.2 (5.6, 6.8)"
Clearance time,Omicron: Boosted,8.4,8.1,8.8,"8.4 (8.1, 8.8)"
