DaysSinceDetection,LineageBroad_BoostTiterGroup,low_ct1,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__,LineageBroad,BoostTiterGroup,Detection group
0,DeltaHighBoosted,0.288,1,0,DeltaHighBoosted,0.03329898543642873,0.03756752549706023,5.121513651482552e-4,0.22563281910381816,Delta,Boosted: >250 AU/ml,Frequent testing
0,DeltaHighNotBoosted,0.288,1,0,DeltaHighNotBoosted,0.179021320200021,0.23135754297528424,0.0016085050145690787,0.9002211890139299,Delta,Not Boosted: >250 AU/ml,Frequent testing
0,DeltaLowBoosted,0.288,1,0,DeltaLowBoosted,0.991874075988588,0.012032363816406589,0.04716815963640099,0.9999997874052637,Delta,Boosted: ≤250 AU/ml,Frequent testing
0,DeltaLowNotBoosted,0.288,1,0,DeltaLowNotBoosted,0.23932260254715965,0.10099884884660082,0.08976798589349268,0.46941243365522284,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
0,OmicronHighBoosted,0.288,1,0,OmicronHighBoosted,0.1482261868515039,0.035835432881784854,0.08869422429005804,0.2291496768609211,Omicron,Boosted: >250 AU/ml,Frequent testing
0,OmicronHighNotBoosted,0.288,1,0,OmicronHighNotBoosted,0.12881342250800853,0.04463728858553164,0.062218116670575516,0.2396165212750149,Omicron,Not Boosted: >250 AU/ml,Frequent testing
0,OmicronLowBoosted,0.288,1,0,OmicronLowBoosted,0.17352139013693701,0.03511479797939406,0.11198887669382705,0.24923849662231895,Omicron,Boosted: ≤250 AU/ml,Frequent testing
0,OmicronLowNotBoosted,0.288,1,0,OmicronLowNotBoosted,0.057568595709356234,0.030730363154857318,0.01713324502692791,0.15411678171733217,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
0,OtherHighNotBoosted,0.288,1,0,OtherHighNotBoosted,0.12092474680197482,0.041991733860196306,0.05606679064005897,0.2220926702288989,Other,Not Boosted: >250 AU/ml,Frequent testing
0,OtherLowNotBoosted,0.288,1,0,OtherLowNotBoosted,0.33205066740367656,0.12810241971877198,0.13456361521618018,0.5909276431698531,Other,Not Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,DeltaHighBoosted,0.288,1,0.25252525252525254,DeltaHighBoosted,0.05400687733793186,0.05779160089427315,0.0012360873727235873,0.3018201411707252,Delta,Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,DeltaHighNotBoosted,0.288,1,0.25252525252525254,DeltaHighNotBoosted,0.2529544315918395,0.30863587643297374,0.0027732154060531615,0.9275820625206809,Delta,Not Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,DeltaLowBoosted,0.288,1,0.25252525252525254,DeltaLowBoosted,0.994530788301931,0.008098448977463346,0.08605742368422598,0.9999998210467841,Delta,Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,DeltaLowNotBoosted,0.288,1,0.25252525252525254,DeltaLowNotBoosted,0.31484977637176703,0.11310459910139962,0.1382034704692427,0.5513867204294324,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,OmicronHighBoosted,0.288,1,0.25252525252525254,OmicronHighBoosted,0.19657908483334707,0.03935755300934436,0.12824448875668504,0.28210477686988694,Omicron,Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,OmicronHighNotBoosted,0.288,1,0.25252525252525254,OmicronHighNotBoosted,0.17431845687667707,0.052255936429661774,0.0924489997580531,0.2948873807456618,Omicron,Not Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,OmicronLowBoosted,0.288,1,0.25252525252525254,OmicronLowBoosted,0.24024521407727192,0.03912799158921263,0.16912361014046834,0.3194851042413655,Omicron,Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,OmicronLowNotBoosted,0.288,1,0.25252525252525254,OmicronLowNotBoosted,0.08246169336075225,0.040109802840200444,0.027139096587771014,0.1991823697829634,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
0.25252525252525254,OtherHighNotBoosted,0.288,1,0.25252525252525254,OtherHighNotBoosted,0.1718755090957826,0.0518242363275694,0.0883873293577965,0.2882220469566387,Other,Not Boosted: >250 AU/ml,Frequent testing
0.25252525252525254,OtherLowNotBoosted,0.288,1,0.25252525252525254,OtherLowNotBoosted,0.357361419506216,0.11754136839870846,0.1622932523822056,0.5875420692018309,Other,Not Boosted: ≤250 AU/ml,Frequent testing
0.5050505050505051,DeltaHighBoosted,0.288,1,0.5050505050505051,DeltaHighBoosted,0.08620898208201985,0.08594702509748181,0.002976225601908737,0.3952267483502901,Delta,Boosted: >250 AU/ml,Frequent testing
0.5050505050505051,DeltaHighNotBoosted,0.288,1,0.5050505050505051,DeltaHighNotBoosted,0.3411481434919844,0.37770162664467105,0.0050019437824672715,0.9475907608353691,Delta,Not Boosted: >250 AU/ml,Frequent testing
0.5050505050505051,DeltaLowBoosted,0.288,1,0.5050505050505051,DeltaLowBoosted,0.9962251945678466,0.0055879740750260365,0.13796687093960444,0.9999998565727102,Delta,Boosted: ≤250 AU/ml,Frequent testing
0.5050505050505051,DeltaLowNotBoosted,0.288,1,0.5050505050505051,DeltaLowNotBoosted,0.4016445257999963,0.11873383097879447,0.20011862935369873,0.6314936619212492,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
0.5050505050505051,OmicronHighBoosted,0.288,1,0.5050505050505051,OmicronHighBoosted,0.2548418592324811,0.041026722142813395,0.17866564152007386,0.340088825708509,Omicron,Boosted: >250 AU/ml,Frequent testing
