var,name,mean,lwr,upr,string
Peak Ct,Other: Unexposed,24.8,24,25.7,"24.8 (24, 25.7)"
Peak Ct,"Delta: Exposed, <400",22.2,20.9,23.5,"22.2 (20.9, 23.5)"
Peak Ct,"Delta: Exposed, >400",24.8,22.8,26.6,"24.8 (22.8, 26.6)"
Peak Ct,"Omicron: Exposed, 400",25.2,24.8,25.6,"25.2 (24.8, 25.6)"
Peak Ct,"Omicron: Exposed, >400",26.4,25.9,26.9,"26.4 (25.9, 26.9)"
Peak GEML,Other: Unexposed,6.9,6.6,7.1,"6.9 (6.6, 7.1)"
Peak GEML,"Delta: Exposed, <400",7.6,7.2,8,"7.6 (7.2, 8)"
Peak GEML,"Delta: Exposed, >400",6.9,6.4,7.4,"6.9 (6.4, 7.4)"
Peak GEML,"Omicron: Exposed, 400",6.8,6.6,6.9,"6.8 (6.6, 6.9)"
Peak GEML,"Omicron: Exposed, >400",6.4,6.3,6.6,"6.4 (6.3, 6.6)"
Proliferation time,Other: Unexposed,3.5,3.2,3.9,"3.5 (3.2, 3.9)"
Proliferation time,"Delta: Exposed, <400",3.5,2.8,4.3,"3.5 (2.8, 4.3)"
Proliferation time,"Delta: Exposed, >400",4.5,3.5,5.8,"4.5 (3.5, 5.8)"
Proliferation time,"Omicron: Exposed, 400",3.9,3.7,4.2,"3.9 (3.7, 4.2)"
Proliferation time,"Omicron: Exposed, >400",3.7,3.3,4,"3.7 (3.3, 4)"
Clearance time,Other: Unexposed,9.9,9.2,10.6,"9.9 (9.2, 10.6)"
Clearance time,"Delta: Exposed, <400",7.8,6.9,8.6,"7.8 (6.9, 8.6)"
Clearance time,"Delta: Exposed, >400",7.5,6.2,8.9,"7.5 (6.2, 8.9)"
Clearance time,"Omicron: Exposed, 400",8.3,7.9,8.7,"8.3 (7.9, 8.7)"
Clearance time,"Omicron: Exposed, >400",6.5,6.1,6.9,"6.5 (6.1, 6.9)"
